week,match,league,pick,actual_ht,actual_ft,ht_correct,ht_score,confidence,pin_prob_h,pin_prob_a,h_ht_lead,a_ht_lead,reason
2022-09-12/2022-09-18,Barcelona vs Elche,La_Liga,H,H,H,True,2-0,9.8,0.87,0.04,0.5,0.2,"ph=87%, home HT lead rate 50% at home"
2022-09-26/2022-10-02,RB Leipzig vs Bochum,Bundesliga,H,H,H,True,2-0,8.7,0.78,0.09,0.5,0.2,"ph=78%, home HT lead rate 50% at home"
2022-10-03/2022-10-09,Man City vs Southampton,EPL,H,H,H,True,2-0,11.1,0.86,0.05,0.7,0.0,"ph=86%, home HT lead rate 70% at home"
2022-10-10/2022-10-16,Napoli vs Bologna,Serie_A,H,D,H,False,1-1,9.9,0.77,0.07,0.5,0.1,"ph=77%, home HT lead rate 50% at home"
2022-10-17/2022-10-23,Man City vs Brighton,EPL,H,H,H,True,2-0,9.0,0.8,0.06,0.7,0.6,"ph=80%, home HT lead rate 70% at home"
2022-10-24/2022-10-30,Arsenal vs Nott'm Forest,EPL,H,H,H,True,1-0,10.5,0.81,0.06,0.6,0.0,"ph=81%, home HT lead rate 60% at home"
2022-10-31/2022-11-06,Man City vs Fulham,EPL,H,D,H,False,1-1,11.1,0.86,0.04,0.7,0.0,"ph=86%, home HT lead rate 70% at home"
2022-11-07/2022-11-13,Real Madrid vs Cadiz,La_Liga,H,H,H,True,1-0,10.9,0.85,0.04,0.6,0.0,"ph=85%, home HT lead rate 60% at home"
2022-12-26/2023-01-01,Barcelona vs Espanol,La_Liga,H,H,D,True,1-0,9.9,0.77,0.08,0.7,0.0,"ph=77%, home HT lead rate 70% at home"
2023-01-02/2023-01-08,Man United vs Bournemouth,EPL,H,H,H,True,1-0,7.3,0.75,0.09,0.6,0.25,"ph=75%, home HT lead rate 60% at home"
2023-01-09/2023-01-15,Inter vs Verona,Serie_A,H,H,H,True,1-0,7.3,0.75,0.1,0.5,0.2,"ph=75%, home HT lead rate 50% at home"
2023-01-16/2023-01-22,Barcelona vs Getafe,La_Liga,H,H,H,True,1-0,9.2,0.82,0.05,0.7,0.2,"ph=82%, home HT lead rate 70% at home"
2023-01-23/2023-01-29,Bayern Munich vs FC Koln,Bundesliga,H,A,D,False,0-1,8.9,0.79,0.08,0.8,0.2,"ph=79%, home HT lead rate 80% at home"
2023-01-30/2023-02-05,Spezia vs Napoli,Serie_A,A,D,A,False,0-0,7.9,0.11,0.71,0.4,0.5,"pa=71%, away HT lead rate 50% away"
2023-02-06/2023-02-12,Bayern Munich vs Bochum,Bundesliga,H,H,H,True,1-0,10.9,0.84,0.06,0.8,0.0,"ph=84%, home HT lead rate 80% at home"
2023-02-13/2023-02-19,Barcelona vs Cadiz,La_Liga,H,H,H,True,2-0,10.3,0.8,0.07,0.7,0.1,"ph=80%, home HT lead rate 70% at home"
2023-02-20/2023-02-26,Bayern Munich vs Union Berlin,Bundesliga,H,H,H,True,3-0,7.1,0.73,0.1,0.8,0.3,"ph=73%, home HT lead rate 80% at home"
