combo,yc_thresh,btts_home,btts_away,weeks,win_rate,avg_odds,ev
HA+YC,5.0,1.8,1.5,197,0.594,1.934,1.148
HA+YC,5.0,1.8,1.8,197,0.594,1.934,1.148
HA+YC,5.0,2.0,1.3,197,0.594,1.934,1.148
HA+YC,5.0,2.0,1.5,197,0.594,1.934,1.148
HA+YC,5.0,2.0,1.8,197,0.594,1.934,1.148
HA+YC+BTTS,5.5,1.8,1.8,176,0.318,4.06,1.292
HA+YC+BTTS,6.0,1.5,1.8,160,0.312,4.041,1.263
HA+YC+BTTS,3.5,1.8,1.8,187,0.31,4.069,1.262
HA+YC+BTTS,4.0,1.8,1.8,187,0.31,4.069,1.262
HA+YC+BTTS,4.5,1.8,1.8,187,0.31,4.069,1.262
HA+YC+BTTS,5.0,1.8,1.8,187,0.31,4.069,1.262
HA+YC+BTTS,5.5,1.5,1.8,181,0.309,4.054,1.254
HA+YC+BTTS,5.5,1.8,1.5,180,0.306,4.052,1.238
HA+YC+BTTS,3.5,1.8,1.5,191,0.304,4.061,1.233
HA+YC+BTTS,4.0,1.8,1.5,191,0.304,4.061,1.233
HA+YC+BTTS,4.5,1.8,1.5,191,0.304,4.061,1.233
HA+YC+BTTS,5.0,1.8,1.5,191,0.304,4.061,1.233
HA+YC+BTTS,6.0,1.5,1.3,164,0.305,4.036,1.231
HA+YC+BTTS,6.0,1.8,1.8,155,0.303,4.047,1.227
HA+YC+BTTS,5.5,2.0,1.8,169,0.302,4.058,1.225
HA+YC+BTTS,6.0,1.5,1.5,162,0.302,4.041,1.222
HA+YC+BTTS,5.5,1.5,1.5,183,0.301,4.054,1.218
HA+YC+BTTS,3.5,2.0,1.8,178,0.298,4.062,1.209
HA+YC+BTTS,4.0,2.0,1.8,178,0.298,4.062,1.209
HA+YC+BTTS,4.5,2.0,1.8,178,0.298,4.062,1.209
HA+YC+BTTS,5.0,2.0,1.8,178,0.298,4.062,1.209
HA+YC+BTTS,3.5,1.5,1.8,192,0.297,4.063,1.206
HA+YC+BTTS,4.0,1.5,1.8,192,0.297,4.063,1.206
HA+YC+BTTS,4.5,1.5,1.8,192,0.297,4.063,1.206
